=== alpha*(S) table (Figure 2) ===
S,alpha_star,R_S(alpha_star)
1,0.666700,1.088662
2,1.063821,1.004048
3,1.282223,1.104626
4,1.418761,1.303763
5,1.511919,1.593489
6,1.579389,1.987056
7,1.630466,2.510491
8,1.670547,3.202389
10,1.729321,5.326399
15,1.812783,20.851344
20,1.856963,89.412143
30,1.902743,1921.088421
50,1.940726,1186245.502693
70,1.957418,869517572.232359
100,1.970013,19976851679746.441406
150,1.979908,447436476017758371840.000000
200,1.984906,11267205238144241710160412672.000000
300,1.989904,8462474311569364998382927661954141742170112.000000
500,1.993902,6439572778093342959952009688615493706797738021661604796383929583420833792.000000

=== Experiment 3: alpha extended past its step budget (Figure 3) ===
T0,1125899906842624
N,2251799813685248
S,50
T_std_final,1.0
C_std,89976779.20987085
T_b_final,189611839010719.66
C_b,63.91349902696912
extra_steps_b,48
extra_cost_b,109627018.02684183
total_cost_b_completed,109627081.94034086
R_50,1170705.2191598513
